profile,lane,engine,mode,model_id,model_revision,runtime,topology,mtp_tokens,status,rankable,evidence_run_id,note
sglang_tp2_ep2_ar_prefill,sglang_tp2_ep2_ar,sglang,ar,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,cross_node_tp2_ep2,0,PASS_RANKABLE_PREFILL,true,20260910-115658-sglang-tp2-datadirect,"Accepted: run 20260910-115658 completed the full 16K-128K x C1/C4/C16 grid (12/12 points) with zero errors. This replay-off profile is the numerically exact (full-prefill) reference; the faster sglang_tp2_ep2_ar_replay lane is accepted separately. An earlier full sweep lost its server after 32K/C4 and was set aside (see notes/). quick-datadirect.jsonl is the C1-only spot check that preceded it, published as a diagnostic."
sglang_tp2_ep2_ar_decode,sglang_tp2_ep2_ar,sglang,ar,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,cross_node_tp2_ep2,0,PASS_RANKABLE_DECODE,true,20260910-121116-sglang-tp2-datadirect-ar,"Accepted: C1, C2, C4, C8, C16, C32, C64 finite-request cells, zero errors, none underfilled"
sglang_tp2_ep2_dspark_prefill,sglang_tp2_ep2_dspark,sglang,dspark,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,cross_node_tp2_ep2,0,DIAGNOSTIC_UNRANKED_PARTIAL_GRID_SPOT_CHECK,false,sglang-dspark-prefill-check,"Diagnostic: 16K/64K C1 spot check (2 points, zero errors) taken on the DSpark server profile; not a full grid, never ranked. The prefill headline lane is the AR profile."
sglang_tp2_ep2_dspark_decode,sglang_tp2_ep2_dspark,sglang,dspark,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,cross_node_tp2_ep2,0,PASS_RANKABLE_DECODE,true,20260910-123559-sglang-tp2-datadirect-dspark,"Accepted: every requested cell C1, C2, C4, C8, C16, C32 completed with zero errors and none underfilled (C64 was not requested for the DSpark lane); accept_length/accept_rate come from the server speculative-decoding counters"
sglang_tp2_ep2_ar_replay_prefill,sglang_tp2_ep2_ar_replay,sglang,ar,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,cross_node_tp2_ep2,0,PASS_RANKABLE_PREFILL,true,20260910-125739-sglang-tp2-datadirect-replay,"Accepted: run 20260910-125739 completed the full 16K-128K x C1/C4/C16 grid (12/12 points) with zero errors on the same TP2+EP2 Data Direct server plus --enable-decoder-swa-bounded-replay. SWA bounded replay is the deployment technique DeepSeek's V4.1 tech report describes and LMSYS validated (AIME pass@1 unchanged, 453/480), but its prefill is not bit-identical to full prefill; the replay-off lane sglang_tp2_ep2_ar stays the numerically exact reference."
sglang_tp2_ep2_ar_replay_decode,sglang_tp2_ep2_ar_replay,sglang,ar,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,cross_node_tp2_ep2,0,NOT_MEASURED,false,,Not measured: the replay flag changes prefill only; decode was measured on the replay-off profile
sglang_tp2_ep2_stock_rdma_prefill,sglang_tp2_ep2_stock_rdma,sglang,ar,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,cross_node_tp2_ep2,0,DIAGNOSTIC_UNRANKED_SUPERSEDED_TUNING_STEP,false,20260910-105805-baseline,Image rdma-core 50 cannot open the ConnectX-8 Data Direct DMA path; superseded by the host rdma-core overlay lane
sglang_tp2_ep2_stock_rdma_decode,sglang_tp2_ep2_stock_rdma,sglang,ar,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,cross_node_tp2_ep2,0,NOT_MEASURED,false,,
vllm_pp2_ar_prefill,vllm_pp2_ar,vllm,ar,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,vllm,cross_node_pp2,0,PASS_RANKABLE_PREFILL,true,20260910-164411-vllm-pp2-datadirect,"Accepted: run 20260910-164411 completed the full 16K-128K x C1/C4/C16 grid (12/12 points) with zero errors on vLLM TP1 x PP2 (default 20/20 layer split, --language-model-only, Engram cpu_offload, --max-num-batched-tokens 16384) with the two local source patches in recipes/patches/vllm/ bind-mounted over the image (VLLM_PATCH_PP=1). The client's cache-flush call (/reset_prefix_cache) returned HTTP 404 on this image, but the server's vllm:request_prefill_kv_computed_tokens_sum counter delta equals the prompt-token total at every point, so no prefill work was skipped. The server snapshot is empty because vLLM has no /get_server_info endpoint. GPU utilisation/power were sampled on node0 = pipeline stage 0 (the stage that holds both Engram layers)."
vllm_pp2_ar_decode,vllm_pp2_ar,vllm,ar,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,vllm,cross_node_pp2,0,PASS_RANKABLE_DECODE,true,20260910-164955-vllm-pp2-datadirect-ar,"Accepted: C1, C2, C4, C8, C16, C32, C64 finite-request cells on the same PP2 server, zero errors, none underfilled; vLLM exposes no engine-step counter, so engine_steps_per_second is empty"
vllm_tp2_ar_prefill,vllm_tp2_ar,vllm,ar,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,vllm,cross_node_tp2,0,PASS_RANKABLE_PREFILL,true,20260910-175558-vllm-tp2-datadirect,"Accepted: run 20260910-175558 completed the full 16K-128K x C1/C4/C16 grid (12/12 points) with zero errors on vLLM TP2 x PP1 (--language-model-only, Engram cpu_offload, --max-num-batched-tokens 16384) on the same image and Data Direct overlay as the PP2 lane; the PP patches are mounted but inactive without pipeline parallelism. Launched with SWAP_RANKS=1 (vLLM rank 0 on node1, rank 1 on node0), so the GPU utilisation/power columns, sampled on node0, describe TP rank 1; under TP2 both ranks do the same work. The client's cache-flush call (/reset_prefix_cache) returned HTTP 404, but the vllm:request_prefill_kv_computed_tokens_sum delta equals the prompt-token total at every point, so no prefill work was skipped."
vllm_tp2_ar_decode,vllm_tp2_ar,vllm,ar,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,vllm,cross_node_tp2,0,PENDING,false,,Pending: the TP2 AR decode sweep is running on the same server; accepted only once C1-C64 complete with zero errors
vllm_tp2_dspark_prefill,vllm_tp2_dspark,vllm,dspark,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,vllm,cross_node_tp2,0,NOT_MEASURED,false,,
vllm_tp2_dspark_decode,vllm_tp2_dspark,vllm,dspark,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,vllm,cross_node_tp2,0,PENDING,false,,"vLLM DSpark rejects pipeline parallelism, so the DSpark lane is TP2 only"
official_tp1_single_station,,,,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,,not_run,,NOT_ATTEMPTED,false,,510286023000 checkpoint bytes exceed one GB300; no capacity run retained
