topology,tensor_parallel_size,pipeline_parallel_size,expert_parallel,mtp_tokens,mtp_compile_fix,reasoning_effort,outputs,empty_outputs,flagged_outputs,max_repeated_8gram_fraction,max_identical_character_run,max_identical_word_run,manual_review_status,manual_review_notes,source_file
pp2,1,2,false,0,false,high,4,0,0,0.0016155088852988692,8,1,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; four thinking responses ended at the 1024-token cap. The automatic flag was Markdown punctuation, not repeated filler.",data/evidence/pp2-mtp0-quality.json
pp2,1,2,false,0,false,low,4,0,0,0.034545454545454546,12,2,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; four thinking responses ended at the 1024-token cap. The automatic flag was Markdown punctuation, not repeated filler.",data/evidence/pp2-mtp0-quality.json
pp2,1,2,false,0,false,no_think,4,0,1,0.0,21,2,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; four thinking responses ended at the 1024-token cap. The automatic flag was Markdown punctuation, not repeated filler.",data/evidence/pp2-mtp0-quality.json
tp2,2,1,true,0,false,high,4,0,0,0.0032102728731942215,12,1,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; five thinking responses ended at the 1024-token cap. The automatic flag was Markdown punctuation, not repeated filler.",data/evidence/tp2-mtp0-quality.json
tp2,2,1,true,0,false,low,4,0,0,0.0,3,1,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; five thinking responses ended at the 1024-token cap. The automatic flag was Markdown punctuation, not repeated filler.",data/evidence/tp2-mtp0-quality.json
tp2,2,1,true,0,false,no_think,4,0,1,0.0,21,2,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; five thinking responses ended at the 1024-token cap. The automatic flag was Markdown punctuation, not repeated filler.",data/evidence/tp2-mtp0-quality.json
tp2,2,1,true,1,true,high,4,0,1,0.013831258644536652,19,1,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; five thinking responses ended at the 1024-token cap. Automatic flags came from formatting or repeated code fragments, not semantic loops.",data/evidence/tp2-mtp1-quality.json
tp2,2,1,true,1,true,low,4,0,1,0.034545454545454546,21,1,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; five thinking responses ended at the 1024-token cap. Automatic flags came from formatting or repeated code fragments, not semantic loops.",data/evidence/tp2-mtp1-quality.json
tp2,2,1,true,1,true,no_think,4,0,2,0.0,22,2,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; five thinking responses ended at the 1024-token cap. Automatic flags came from formatting or repeated code fragments, not semantic loops.",data/evidence/tp2-mtp1-quality.json
tp2,2,1,true,2,true,high,4,0,0,0.003372681281618887,12,1,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; six thinking responses ended at the 1024-token cap. The automatic flag was Markdown punctuation, not repeated filler.",data/evidence/tp2-mtp2-quality.json
tp2,2,1,true,2,true,low,4,0,0,0.0,12,1,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; six thinking responses ended at the 1024-token cap. The automatic flag was Markdown punctuation, not repeated filler.",data/evidence/tp2-mtp2-quality.json
tp2,2,1,true,2,true,no_think,4,0,1,0.0,21,2,clean,"Read all 12 outputs. Answers were coherent and nondegenerate; six thinking responses ended at the 1024-token cap. The automatic flag was Markdown punctuation, not repeated filler.",data/evidence/tp2-mtp2-quality.json
